order_id,order_date,region,product_category,product_name,quantity,unit_price,currency,payment_method,status,total_amount
1076,2025-05-20,Asia,Toys,Main,4,118.92,EUR,Wire Transfer,Returned,475.68
1077,2024-08-19,Asia,Books,Action,4,13.74,KRW,Credit Card,Returned,54.96
1078,2024-09-23,Asia,Books,Loss,2,61.17,USD,Credit Card,Returned,122.34
1079,2024-10-16,Asia,Electronics,Against,3,26.98,USD,PayPal,Completed,80.94
1080,2024-11-09,Europe,Toys,Successful,2,45.29,USD,Wire Transfer,Shipped,90.58
1081,2024-12-16,Asia,Electronics,Reveal,5,26.93,EUR,PayPal,Returned,134.65
1082,2024-11-15,Asia,Toys,Leader,4,143.94,USD,Credit Card,Completed,575.76
1083,2025-04-05,Asia,Electronics,Kitchen,4,127.22,EUR,Wire Transfer,Completed,508.88
1084,2024-08-02,North America,Clothing,Boy,1,68.15,USD,Credit Card,Shipped,68.15
1085,2025-03-29,North America,Electronics,At,2,85.06,EUR,Credit Card,Shipped,170.12
1086,2025-02-16,Europe,Electronics,Hear,1,27.08,KRW,PayPal,Shipped,27.08
1087,2025-05-03,Asia,Electronics,Behavior,5,110.0,EUR,PayPal,Returned,550.0
1088,2024-09-03,Asia,Toys,Lead,1,103.18,EUR,PayPal,Completed,103.18
1089,2025-07-16,Europe,Books,Across,4,16.3,USD,Credit Card,Completed,65.2
1090,2025-06-07,Asia,Electronics,North,5,41.13,USD,PayPal,Returned,205.65
1091,2024-12-26,North America,Clothing,Back,5,110.57,EUR,Wire Transfer,Returned,552.85
1092,2025-03-02,Europe,Electronics,Rule,2,22.56,USD,Wire Transfer,Shipped,45.12
1093,2025-04-05,Asia,Electronics,International,2,104.53,USD,Wire Transfer,Returned,209.06
1094,2024-08-13,North America,Electronics,Future,4,121.6,EUR,Wire Transfer,Shipped,486.4
1095,2024-11-11,Europe,Books,Marriage,4,146.4,KRW,Wire Transfer,Completed,585.6
1096,2024-08-14,North America,Electronics,Social,2,31.31,KRW,Credit Card,Returned,62.62
1097,2025-03-08,Asia,Toys,Good,3,81.41,KRW,PayPal,Shipped,244.23
1098,2025-01-09,Europe,Books,Happen,5,84.08,KRW,Wire Transfer,Completed,420.4
1099,2024-08-11,North America,Books,Purpose,5,116.24,KRW,Wire Transfer,Completed,581.2
1100,2025-04-06,Europe,Books,Common,5,77.12,EUR,PayPal,Shipped,385.6
